28 янв 2020 13:35:38,912  INFO LRULogger - COLLECTED, USED : 8850736, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 13:35:42,820  INFO LRULogger - COLLECTED, USED : 46458752, LASTCOLLECTED : 8850736, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 13:52:48,396  INFO LRULogger - COLLECTED, USED : 8849704, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 13:52:52,041  INFO LRULogger - COLLECTED, USED : 51881840, LASTCOLLECTED : 8849704, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 13:55:28,243  INFO LRULogger - COLLECTED, USED : 9715176, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 13:55:31,814  INFO LRULogger - COLLECTED, USED : 51883680, LASTCOLLECTED : 9715176, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:00:04,488  INFO LRULogger - COLLECTED, USED : 8849816, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:00:07,998  INFO LRULogger - COLLECTED, USED : 46609408, LASTCOLLECTED : 8849816, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:05:04,387  INFO LRULogger - COLLECTED, USED : 8851264, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:05:07,949  INFO LRULogger - COLLECTED, USED : 51882336, LASTCOLLECTED : 8851264, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:07:05,042  INFO LRULogger - COLLECTED, USED : 8837120, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:07:08,601  INFO LRULogger - COLLECTED, USED : 51909552, LASTCOLLECTED : 8837120, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:10:12,338  INFO LRULogger - COLLECTED, USED : 8850472, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:10:16,001  INFO LRULogger - COLLECTED, USED : 51704816, LASTCOLLECTED : 8850472, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:11:45,637  INFO LRULogger - COLLECTED, USED : 8851112, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:11:49,086  INFO LRULogger - COLLECTED, USED : 46447896, LASTCOLLECTED : 8851112, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:13:52,761  INFO LRULogger - COLLECTED, USED : 9732936, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
28 янв 2020 14:13:56,329  INFO LRULogger - COLLECTED, USED : 51880696, LASTCOLLECTED : 9732936, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
